"","Comp","Day","Venue","GF","GA","xG","xGA","Poss","Attendance","Result"
"47",-0.497793540022431,-2.04516293605439,-0.985726238539825,0.89106276103187,-0.913089861378111,0.371646938759026,-0.840474678396284,0.80076158152063,0.818751870790589,"W"
"48",-0.497793540022431,0.518658035656444,1.00865010455238,-1.34516205271157,2.29655934831464,-0.871940894780793,1.46790424332721,0.360393328724834,-1.0036404571502,"L"
"49",-0.497793540022431,1.03142222999861,1.00865010455238,-1.34516205271157,-0.110677558954923,-1.09804777360621,-0.840474678396284,0.624614280402311,-1.27378741879954,"L"
"50",-0.497793540022431,1.03142222999861,-0.985726238539825,-0.599753781463758,0.691734743468266,-0.306673697717239,0.381608280163215,0.712687930961471,0.828725053801664,"L"
"51",-0.497793540022431,0.518658035656444,1.00865010455238,-1.34516205271157,2.29655934831464,-0.871940894780793,0.517395275558715,1.06498253319811,-1.63887559863292,"L"
"52",-0.497793540022431,-2.04516293605439,-0.985726238539825,0.145654489784056,-0.110677558954923,0.145540059933605,0.110034289372215,-2.10566888693162,0.847713297438471,"W"
"53",-0.497793540022431,0.518658035656444,1.00865010455238,-0.599753781463758,-0.913089861378111,-0.645834015955371,0.245821284767715,-0.256122225189279,-1.02284645587459,"W"
"55",-0.497793540022431,1.03142222999861,-0.985726238539825,0.89106276103187,-0.110677558954923,-0.193620258304528,0.110034289372215,-1.22493238134003,0.816530768897293,"W"
"56",2.71020927345546,-0.506870353027889,-0.985726238539825,-1.34516205271157,-0.110677558954923,-0.984994334193503,-0.161539701418784,0.0961723770473573,0.854812113293516,"L"
"57",2.71020927345546,-0.506870353027889,1.00865010455238,0.145654489784056,-0.913089861378111,-0.0805668188918167,-1.24783566458278,1.24112983431642,-2.00108941131027,"W"
"58",-0.497793540022431,1.03142222999861,1.00865010455238,0.89106276103187,3.90138395316102,0.0324866205208939,2.68998720188671,-0.608416827425915,-0.052573336644263,"L"
"59",2.71020927345546,-0.506870353027889,1.00865010455238,0.89106276103187,0.691734743468266,1.61523477229885,-0.0257527060232846,1.68149808711222,-1.50996458678671,"W"
"60",-0.497793540022431,1.03142222999861,1.00865010455238,0.145654489784056,-0.110677558954923,-0.306673697717239,-0.840474678396284,0.536540629843153,-0.671738152663721,"W"
"61",2.71020927345546,-0.506870353027889,-0.985726238539825,-0.599753781463758,-0.913089861378111,2.85882260583866,-1.51940965537378,2.12186633990801,0.854812113293516,"W"
"63",-0.497793540022431,-1.01963454737006,-0.985726238539825,0.145654489784056,-0.913089861378111,-0.193620258304528,-0.840474678396284,-0.16804857463012,0.827244319206133,"W"
"65",2.71020927345546,-0.506870353027889,-0.985726238539825,0.89106276103187,-0.913089861378111,1.163021014648,-1.65519665076928,1.76957173767138,0.831033257729991,"W"
"67",2.71020927345546,-0.506870353027889,1.00865010455238,-0.599753781463758,-0.913089861378111,-1.09804777360621,-0.161539701418784,-0.0799749240709607,-0.781225410697969,"W"
"68",-0.497793540022431,1.03142222999861,1.00865010455238,-0.599753781463758,1.49414704589145,-1.32415465243164,-0.840474678396284,0.360393328724834,-0.549795303620007,"L"
"70",-0.497793540022431,1.03142222999861,1.00865010455238,0.145654489784056,-0.110677558954923,0.936914135822581,0.245821284767715,-0.608416827425915,-1.32552602760809,"W"
"72",-0.497793540022431,-1.53239874171222,-0.985726238539825,0.89106276103187,-0.913089861378111,0.82386069640987,-0.704687683000784,0.976908882638948,0.824239298997556,"W"
"73",-0.497793540022431,0.518658035656444,1.00865010455238,-0.599753781463758,-0.913089861378111,0.371646938759026,-0.704687683000784,0.00809872648819829,-1.00272588578237,"W"
"74",-0.497793540022431,-1.53239874171222,-0.985726238539825,0.89106276103187,-0.913089861378111,0.597753817584448,-0.840474678396284,0.360393328724834,0.811783707988091,"W"
"77",-0.497793540022431,0.518658035656444,-0.985726238539825,0.145654489784056,-0.110677558954923,0.0324866205208939,-0.840474678396284,-2.10566888693162,0.908641170942812,"W"
