"","Player","Nationality","Pos","Squad"
"209","Mads Bech Sørensen","DEN","DF,MF","Brentford"
"210","Jan Bednarek","POL","DF","Southampton"
"211","Jan Bednarek","POL","DF","Aston Villa"
"212","Donny van de Beek","NED","MF","Manchester Utd"
"213","Asmir Begovi?","BIH","GK","Everton"
"214","Armel Bella Kotchap","GER","DF","Southampton"
"215","Victor Bernth Kristiansen","DEN","DF","Leicester City"
"216","Owen Bevan","WAL","DF","Bournemouth"
"217","Giulian Biancone","FRA","DF","Nott'ham Forest"
"218","Yves Bissouma","MLI","MF","Tottenham"
"219","Willy Boly","CIV","DF","Nott'ham Forest"
"220","Sven Botman","NED","DF","Newcastle Utd"
"221","James Bree","ENG","DF","Southampton"
"222","Lewis Brunt","ENG","DF","Leicester City"
"223","Bryan","ESP","MF,FW","Tottenham"
"224","Hugo Bueno","ESP","DF","Wolves"
"225","Facundo Buonanotte","ARG","FW,MF","Brighton"
"226","Dan Burn","ENG","DF","Newcastle Utd"
"227","Cafú","POR","MF","Nott'ham Forest"
"228","Tom Cairney","SCO","MF","Fulham"
"229","Duje ?aleta-Car","CRO","DF","Southampton"
"230","Chem Campbell","WAL","FW,MF","Wolves"
"231","Thomas Cannon","IRL","FW","Everton"
"232","Sergi Canós","ESP","FW,DF","Brentford"
"233","Diego Carlos","BRA","DF","Aston Villa"
"234","Matty Cash","POL","DF","Aston Villa"
"235","Jonny Castro","ESP","DF","Wolves"
"236","Julio César Enciso","PAR","FW,MF","Brighton"
"237","Nathaniel Chalobah","ENG","MF","Fulham"
"238","Trevoh Chalobah","ENG","DF","Chelsea"
"239","Calum Chambers","ENG","DF","Aston Villa"
"240","Carney Chukwuemeka","ENG","MF,FW","Chelsea"
"241","Bobby Clark","ENG","MF","Liverpool"
"242","Nathaniel Clyne","ENG","DF","Crystal Palace"
"243","Jack Colback","ENG","MF","Nott'ham Forest"
"244","Nathan Collins","IRL","DF","Wolves"
"245","Levi Colwill","ENG","DF","Brighton"
"246","Lewis Cook","ENG","MF","Bournemouth"
"247","Steve Cook","ENG","DF","Nott'ham Forest"
"248","Maxwel Cornet","CIV","FW","West Ham"
"249","Diego Costa","ESP","FW","Wolves"
"250","Vladimír Coufal","CZE","DF","West Ham"
"251","Conor Coventry","IRL","MF,FW","West Ham"
"252","Aaron Cresswell","ENG","DF","West Ham"
"253","Marc Cucurella","ESP","DF","Chelsea"
"254","Matheus Cunha","BRA","FW","Wolves"
"255","Diogo Dalot","POR","DF","Manchester Utd"
"256","Mikkel Damsgaard","DEN","MF,FW","Brentford"
"257","Danilo","BRA","MF","Nott'ham Forest"
"258","Arnaut Danjuma","NED","FW","Tottenham"
"259","Tom Davies","ENG","MF","Everton"
"260","Craig Dawson","ENG","DF","West Ham"
"261","Siriki Dembélé","CIV","FW,MF","Bournemouth"
"262","Leander Dendoncker","BEL","MF","Aston Villa"
"263","Leander Dendoncker","BEL","MF","Wolves"
"264","Halil Dervi?o?lu","TUR","MF","Brentford"
"265","Ibrahima Diallo","FRA","MF","Southampton"
"266","Rúben Dias","POR","DF","Manchester City"
"267","Moussa Djenepo","MLI","DF,FW","Southampton"
"268","Ben Doak","SCO","FW","Liverpool"
"269","Abdoulaye Doucouré","MLI","MF","Everton"
"270","Cheick Doucouré","MLI","MF","Crystal Palace"
"271","Flynn Downes","ENG","MF","West Ham"
"272","Cody Drameh","ENG","DF","Leeds United"
"273","Martin Dúbravka","SVK","GK","Newcastle Utd"
"274","Shane Duffy","IRL","FW,DF","Fulham"
"275","Lewis Dunk","ENG","DF","Brighton"
"276","Jhon Durán","COL","FW","Aston Villa"
"277","Malcolm Ebiowei","ENG","MF,FW","Crystal Palace"
"278","Ederson","BRA","GK","Manchester City"
"279","Samuel Edozie","ENG","FW,MF","Southampton"
"280","Anthony Elanga","SWE","FW","Manchester Utd"
"281","Mohamed Elneny","EGY","MF","Arsenal"
"282","Mohamed Elyounoussi","NOR","MF,FW","Southampton"
"283","Pervis Estupiñán","ECU","DF","Brighton"
"284","Jonny Evans","NIR","DF","Leicester City"
"285","?ukasz Fabia?ski","POL","GK","West Ham"
"286","Fabinho","BRA","MF","Liverpool"
"287","Wout Faes","BEL","DF","Leicester City"
"288","Felipe","BRA","DF","Nott'ham Forest"
"289","Enzo Fernández","ARG","MF","Chelsea"
"290","Mateo Fernández","ESP","FW,MF","Leeds United"
"291","Datro Fofana","CIV","FW","Chelsea"
"292","Wesley Fofana","FRA","DF","Leicester City"
"293","Wesley Fofana","FRA","DF","Chelsea"
"294","Adam Forshaw","ENG","MF","Leeds United"
"295","Fraser Forster","ENG","GK","Tottenham"
"296","Tyrese Francois","AUS","FW","Fulham"
"297","Ryan Fraser","SCO","FW","Newcastle Utd"
"298","Ryan Fredericks","ENG","DF","Bournemouth"
"299","Remo Freuler","SUI","MF","Nott'ham Forest"
"300","Idrissa Gana Gueye","SEN","MF","Everton"
"301","James Garner","ENG","MF","Everton"
"302","David de Gea","ESP","GK","Manchester Utd"
"303","Joe Gelhardt","ENG","FW","Leeds United"
"304","Saman Ghoddos","IRN","MF,FW","Brentford"
"305","Morgan Gibbs-White","ENG","FW,MF","Wolves"
"306","Billy Gilmour","SCO","MF","Brighton"
"307","Ben Godfrey","ENG","DF","Everton"
"308","Toti Gomes","POR","DF","Wolves"
"309","Joe Gomez","ENG","DF","Liverpool"
"310","Sergio Gómez","ESP","DF,MF","Manchester City"
"311","Anthony Gordon","ENG","MF,FW","Newcastle Utd"
"312","Vicente Guaita","ESP","GK","Crystal Palace"
"313","Marc Guéhi","ENG","DF","Crystal Palace"
"314","Darko Gyabi","ENG","FW","Leeds United"
"315","Lewis Hall","ENG","DF,MF","Chelsea"
"316","Luke Harris","WAL","MF,FW","Fulham"
"317","Jan Paul van Hecke","NED","DF","Brighton"
"318","Hwang Hee-chan","KOR","FW","Wolves"
"319","Dean Henderson","ENG","GK","Nott'ham Forest"
"320","Jordan Henderson","ENG","MF","Liverpool"
"321","Wayne Hennessey","WAL","GK","Nott'ham Forest"
"322","Rico Henry","ENG","DF","Brentford"
"323","Aaron Hickey","SCO","DF","Brentford"
"324","Joseph Hodge","IRL","MF","Wolves"
"325","Rob Holding","ENG","DF","Arsenal"
"326","Mason Holgate","ENG","DF","Everton"
"327","Will Hughes","ENG","MF","Crystal Palace"
"328","Omari Hutchinson","ENG","FW","Chelsea"
"329","Daniel James","WAL","FW","Leeds United"
"330","Pontus Jansson","SWE","DF","Brentford"
"331","Raúl Jiménez","MEX","FW","Wolves"
"332","Ben Johnson","ENG","DF","West Ham"
"333","Curtis Jones","ENG","MF,FW","Liverpool"
"334","Jorginho","ITA","MF","Arsenal"
"335","Diogo Jota","POR","FW,MF","Liverpool"
"336","Hamed Junior Traorè","CIV","FW,MF","Bournemouth"
"337","James Justin","ENG","DF","Leicester City"
"338","Mathias Jørgensen","DEN","DF","Brentford"
"339","Sasa Kalajdzic","AUT","FW","Wolves"
"340","Boubacar Kamara","FRA","MF","Aston Villa"
"341","N'Golo Kanté","FRA","MF","Chelsea"
"342","Michael Keane","ENG","DF","Everton"
"343","Neeskens Kebano","COD","FW","Fulham"
"344","Thilo Kehrer","GER","DF","West Ham"
"345","Naby Keïta","GUI","MF","Liverpool"
"346","Lloyd Kelly","ENG","DF","Bournemouth"
"347","Max Kilman","ENG","DF","Wolves"
"348","Mateusz Klich","POL","MF,FW","Leeds United"
"349","Robin Koch","GER","DF","Leeds United"
"350","Ibrahima Konaté","FRA","DF","Liverpool"
"351","Ezri Konsa","ENG","DF","Aston Villa"
"352","Mateo Kova?i?","CRO","MF","Chelsea"
"353","Emil Krafth","SWE","DF","Newcastle Utd"
"354","Layvin Kurzawa","FRA","DF","Fulham"
"355","Tariq Lamptey","GHA","DF","Brighton"
"356","Manuel Lanzini","ARG","MF,FW","West Ham"
"357","Aymeric Laporte","ESP","DF","Manchester City"
"358","Juan Larios","ESP","DF","Southampton"
"359","Jamaal Lascelles","ENG","DF","Newcastle Utd"
"360","Dexter Lembikisa","JAM","DF","Wolves"
"361","Mario Lemina","GAB","MF","Wolves"
"362","Clément Lenglet","FRA","DF","Tottenham"
"363","Bernd Leno","GER","GK","Fulham"
"364","Jamal Lewis","NIR","DF","Newcastle Utd"
"365","Rico Lewis","ENG","DF,MF","Manchester City"
"366","Keane Lewis-Potter","ENG","FW,MF","Brentford"
"367","Victor Lindelöf","SWE","DF","Manchester Utd"
"368","Jesse Lingard","ENG","FW,MF","Nott'ham Forest"
"369","Diego Llorente","ESP","DF","Leeds United"
"370","Hugo Lloris","FRA","GK","Tottenham"
"371","Renan Lodi","BRA","DF","Nott'ham Forest"
"372","Ruben Loftus-Cheek","ENG","MF,DF","Chelsea"
"373","Jamal Lowe","JAM","MF,FW","Bournemouth"
"374","Saša Luki?","SRB","MF","Fulham"
"375","Lyanco","BRA","DF","Southampton"
