"","Squad","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Notes"
"299","Mallorca",0.491654768682357,-0.729663920950248,-0.970475275700675,1.71133334449889,-0.525754206194079,1.12254819281235,-0.968394989121062,-0.919358296559041,-1.09325917729982,0.629219174683943,63.5,-22.4,-0.59,"Relegated"
"300","Espanyol",0.491654768682357,-1.39617355632192,0.337024049945817,1.71133334449889,-1.26409651149231,0.618376997881584,-1.20228222435075,-1.37683333597627,-1.55186827334018,0.530032208574658,51,-12.4,-0.33,"Relegated"
"301","Barcelona",0.491654768682357,2.10300202937935,0.010149218534194,-1.88498872493966,2.31402389110681,-0.966161043329389,2.11112027473649,2.16859821950727,2.00781185306827,2.00593426428082,45.3,30.5,0.8,"UCL"
"302","Atlético Madrid",0.491654768682357,1.43649239400768,0.337024049945817,-1.34554041452388,0.326179222996188,-1.47033223826015,1.01964651033128,1.53957004030858,1.37449452996493,0.87520285063497,41.9,5.4,0.14,"UCL"
"303","Real Madrid",0.491654768682357,1.26986498516476,-1.2973501071123,-0.266643793692312,0.78054371856433,-0.245916479142583,0.668815657486748,1.08209500089135,0.915885433924576,1.64489370764302,47.1,19.6,0.52,"UCL"
"304","Valencia",0.491654768682357,0.270100532107256,2.29827303841556,-1.16572431105195,0.0989969752121168,-1.03818549974807,0.629834451615134,0.681804341401271,0.522791923032846,1.40684498898074,42.9,17.8,0.47,"UCL"
"307","Espanyol",0.491654768682357,0.103473123264338,0.66389888135744,-0.0868276902203847,-0.0713897106259366,0.0421813465321393,-0.0718272540739278,0.224329301984039,0.0423442986096192,0.938682508944913,53.8,-4.9,-0.13,"Regular"
"308","Athletic Club",0.491654768682357,-0.0631542855785789,1.64452337559231,-0.44645989716424,-0.468958644248061,-0.317940935561264,-0.149789665817157,0.224329301984039,0.0423442986096192,0.720471183504486,45.7,-2.3,-0.06,"Regular"
"309","Real Sociedad",0.491654768682357,-0.0631542855785789,0.66389888135744,0.0929884132515428,-0.24177639646399,-0.245916479142583,-0.0328460482023133,0.0527761622025767,-0.110525400070498,0.970422338099884,48.6,1.1,0.03,"Regular"
"310","Betis",0.491654768682357,0.103473123264338,-0.316725612877429,0.452620620195398,-0.298571958410008,0.1862302593695,-0.305714489303615,0.0527761622025767,-0.110525400070498,0.867267893346228,49.4,-2.4,-0.06,"Regular"
"311","Alavés",0.491654768682357,-0.0631542855785789,0.66389888135744,0.0929884132515428,-0.582549768140097,0.0421813465321393,-0.422658106918459,0.0527761622025767,-0.110525400070498,0.629219174683943,53.2,-12.1,-0.32,"Regular"
"312","Eibar",0.491654768682357,-0.396409103264414,1.64452337559231,-0.0868276902203847,-0.184980834517972,0.0421813465321393,-0.149789665817157,-0.118776977578885,-0.285233627133489,1.17276374896283,45.9,9,0.24,"Regular"
"313","Leganés",0.491654768682357,-0.396409103264414,0.990773712769063,0.27280451672347,-0.696140892032132,-0.461989848398625,-0.227752077560386,-0.233145737433193,-0.416264797430733,0.609381781462086,41.2,-0.6,-0.02,"Regular"
"314","Villarreal",0.491654768682357,-0.563036512107331,1.64452337559231,0.0929884132515428,-0.0145941486799188,0.1862302593695,-0.110808459945542,-0.290330117360347,-0.459941854196481,1.13705644116348,55,-1.1,-0.03,"Regular"
"315","Levante",0.491654768682357,-0.396409103264414,0.66389888135744,0.452620620195398,0.553361470780259,1.19457264923103,-0.266733283432,-0.290330117360347,-0.459941854196481,1.13705644116348,76.2,-22.3,-0.59,"Regular"
"316","Valladolid",0.491654768682357,-0.563036512107331,0.66389888135744,0.632436723667325,-0.980118701762221,0.11420580295082,-0.734507753891375,-0.461883257141809,-0.634650081259472,0.629219174683943,58.5,-17.5,-0.46,"Regular"
"317","Celta Vigo",0.491654768682357,-0.563036512107331,0.66389888135744,0.632436723667325,0.212588099104152,0.906474823556307,-0.344695695175229,-0.461883257141809,-0.634650081259472,0.843463021479999,60.9,-14.4,-0.38,"Regular"
"318","Girona",0.491654768682357,-0.729663920950248,0.337024049945817,0.99206893061118,-0.696140892032132,0.258254715788181,-0.617564136276531,-0.690620776850425,-0.874873893471085,0.724438662148857,52.7,-9.2,-0.24,"Relegated"
"319","Huesca",0.491654768682357,-1.06291873863608,0.990773712769063,0.99206893061118,-0.355367520356026,1.12254819281235,-0.851451371506218,-0.919358296559041,-1.09325917729982,1.01406460318797,60.2,-9.4,-0.25,"Relegated"
"322","Atlético Madrid",0.491654768682357,1.60311980285059,0.337024049945817,-1.5253565179958,0.496565908834241,-1.97450343319092,1.40945856904742,1.71112318009004,1.54920275702792,0.990259731321741,35.8,14.4,0.38,"UCL"
"323","Real Madrid",0.491654768682357,1.43649239400768,0.337024049945817,-1.34554041452388,2.54120613889088,-0.389965391979944,1.95519545125003,1.53957004030858,1.37449452996493,2.38681221414048,43.2,42.2,1.11,"UCL"
"324","Valencia",0.491654768682357,1.43649239400768,-0.643600444289052,-0.806092104108095,0.894134842456366,-0.822112130492028,1.05862771620289,1.36801690052712,1.19978630290194,1.22037349269528,48.3,7.7,0.2,"UCL"
"325","Villarreal",0.491654768682357,0.769982758636008,-0.643600444289052,-0.0868276902203847,0.439770346888224,0.0421813465321393,0.279003598770603,0.681804341401271,0.522791923032846,1.11325156929725,53.4,-0.1,0,"Regular"
"326","Betis",0.491654768682357,0.769982758636008,-0.970475275700675,0.0929884132515428,0.610157032726277,0.834450367137626,-0.0328460482023133,0.624619961474117,0.457276337884224,0.823625628258142,49,-3.1,-0.08,"Regular"
"327","Sevilla",0.491654768682357,0.603355349793091,-0.643600444289052,0.0929884132515428,-0.0145941486799188,0.618376997881584,-0.344695695175229,0.510251201619809,0.348083695969854,1.35923524524828,54.4,5.2,0.14,"Regular"
"328","Getafe",0.491654768682357,0.270100532107256,0.337024049945817,-0.0868276902203847,-0.412163082302043,-1.18223441258543,0.356966010513832,0.338698061838347,0.173375468906863,0.910910158434313,39.7,8.5,0.22,"Regular"
"329","Eibar",0.491654768682357,0.103473123264338,0.010149218534194,0.27280451672347,-0.298571958410008,0.0421813465321393,-0.227752077560386,0.109960542129731,-0.06684834330475,0.6212842173952,44.4,-3.5,-0.09,"Regular"
"330","Girona",0.491654768682357,0.103473123264338,0.010149218534194,0.27280451672347,0.042201413266099,0.690401454300265,-0.344695695175229,0.109960542129731,-0.06684834330475,1.00612964589923,50.4,0.2,0.01,"Regular"
"331","Espanyol",0.491654768682357,-0.229781694421496,1.31764854418069,-0.0868276902203847,-0.75293645397815,-0.534014304817306,-0.227752077560386,-0.00440821772457732,-0.17604098521912,0.629219174683943,52.3,-11.1,-0.29,"Regular"
"332","Real Sociedad",0.491654768682357,0.103473123264338,-0.643600444289052,0.632436723667325,0.950930404402384,0.690401454300265,0.279003598770603,-0.00440821772457732,-0.17604098521912,1.12912148387474,50.5,3.1,0.08,"Regular"
"333","Celta Vigo",0.491654768682357,-0.0631542855785789,0.337024049945817,0.27280451672347,0.553361470780259,0.762425910718945,-0.0328460482023133,-0.00440821772457732,-0.17604098521912,1.18069870625157,55.3,-0.3,-0.01,"Regular"
"334","Alavés",0.491654768682357,0.270100532107256,-2.27797460134717,1.35170113755504,-0.525754206194079,0.0421813465321393,-0.383676901046844,-0.118776977578885,-0.285233627133489,0.526064729930287,55.9,-17.4,-0.46,"Regular"
"337","Leganés",0.491654768682357,-0.229781694421496,-0.643600444289052,0.99206893061118,-0.866527577870186,0.11420580295082,-0.656545342148146,-0.347514497287501,-0.525457439345103,0.581609430951486,47.6,-7.6,-0.2,"Regular"
"338","La Coruña",0.491654768682357,-1.229546147479,0.66389888135744,1.35170113755504,-0.639345330086115,1.91481721341783,-1.47515066545205,-1.14809581626766,-1.33348298951144,1.04580443234294,58.7,-7.1,-0.19,"Relegated"
"339","Las Palmas",0.491654768682357,-1.39617355632192,-0.643600444289052,2.25078165491467,-1.43448319733036,1.77076830058047,-1.94292513591142,-1.54838647575774,-1.72657650040317,0.526064729930287,70.5,-32,-0.84,"Relegated"
"340","Málaga",0.491654768682357,-1.39617355632192,-1.2973501071123,2.61041386185853,-1.43448319733036,0.834450367137626,-1.43616945958044,-1.66275523561204,-1.83576914231754,0.522097251285915,59.4,-21,-0.55,"Relegated"
"341","Real Madrid",0.491654768682357,2.6028842559081,-0.970475275700675,-1.88498872493966,3.2227528822431,-0.606038761235986,2.53991353932424,2.5117044990702,2.35722830719426,-1.0014145481527,0,0,0,"UCL"
"342","Barcelona",0.491654768682357,2.43625684706518,-0.970475275700675,-1.70517262146773,3.79070850170327,-0.894136586910709,3.08565042152685,2.34015135928874,2.18252008013126,-1.0014145481527,0,0,0,"UCL"
"343","Atlético Madrid",0.491654768682357,1.60311980285059,0.010149218534194,-1.34554041452388,1.17811265218645,-1.61438115109751,1.68232701014873,1.65393880016289,1.4836871718793,-1.0014145481527,0,0,0,"UCL"
"344","Sevilla",0.491654768682357,1.26986498516476,0.010149218534194,-0.985908207580022,1.12131709024044,-0.0298431098865413,0.785759275101592,1.31083252059996,1.13427071775332,-1.0014145481527,0,0,0,"UCL"
"345","Villarreal",0.491654768682357,0.936610167478925,0.337024049945817,-0.806092104108095,0.382974784942206,-1.18223441258543,0.902702892716435,1.02491062096419,0.850369848775955,-1.0014145481527,0,0,0,"Regular"
